tiempo_inicio,tiempo_fin,user_id,tipo_solicitud,texto_solicitud,caracteristicas,demanda_predicha,servidor_asignado,tiempo_asignacion,tiempo_espera
2024-12-24 01:51:06,2024-12-24 01:51:10,user_avanzado_1,compleja,Análisis avanzado de datos,"{""demanda_predicha"": 3.2124698162078857, ""longitud"": 26, ""tipo"": ""compleja""}",3.2124698162078857,encolada,1.5746324062347412,4.208843231201172
2024-12-24 01:51:08,2024-12-24 01:51:11,user_basico_2,simple,Duda sobre el servicio,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7075049877166748,2.5047969818115234
2024-12-24 01:51:07,2024-12-24 01:51:11,user_intermedio_1,compleja,Análisis de datos de mi cuenta,"{""demanda_predicha"": 3.2025277614593506, ""longitud"": 30, ""tipo"": ""compleja""}",3.2025277614593506,encolada,1.6393418312072754,4.313198089599609
2024-12-24 01:51:11,2024-12-24 01:51:13,user_avanzado_3,compleja,Predicciones de mercado,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.6870143413543701,2.400822162628174
2024-12-24 01:51:12,2024-12-24 01:51:15,user_intermedio_1,simple,Duda sobre la factura,"{""demanda_predicha"": 1.322662353515625, ""longitud"": 21, ""tipo"": ""simple""}",1.322662353515625,encolada,0.635657787322998,2.4041099548339844
2024-12-24 01:51:16,2024-12-24 01:51:18,user_intermedio_2,simple,Cambiar mi suscripción,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.6790561676025391,2.3463497161865234
2024-12-24 01:51:15,2024-12-24 01:51:18,user_basico_1,simple,Información de contacto,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.6312918663024902,3.022117853164673
2024-12-24 01:51:15,2024-12-24 01:51:21,user_avanzado_3,codigo,Ejecución de código Python complejo,"{""demanda_predicha"": 4.088248252868652, ""longitud"": 35, ""tipo"": ""codigo""}",4.088248252868652,encolada,2.367177724838257,6.2114832401275635
2024-12-24 01:51:22,2024-12-24 01:51:24,user_avanzado_1,codigo,Integración de API avanzada,"{""demanda_predicha"": 1.312740445137024, ""longitud"": 27, ""tipo"": ""simple""}",1.312740445137024,encolada,0.6818482875823975,2.4868357181549072
2024-12-24 01:51:21,2024-12-24 01:51:24,user_intermedio_1,simple,Consulta sobre mi plan,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7424933910369873,2.9121336936950684
2024-12-24 01:51:22,2024-12-24 01:51:24,user_basico_3,simple,Duda sobre el servicio,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7512557506561279,2.543882131576538
